Date,Description,Amount,Category
06/02/2026,TRADER JOE S #123 BERKELEY CA,84.32,Merchandise & Supplies-Groceries
06/03/2026,NETFLIX.COM,15.49,Entertainment
06/05/2026,DOORDASH*JOES PIZZA,32.10,Restaurant
06/07/2026,DELTA AIR LINES 0067712345,412.00,Travel/ Airline
06/10/2026,SQ *LOCAL COFFEE ROASTERS,6.75,
06/12/2026,SPOTIFY USA,10.99,Entertainment
06/15/2026,AIRBNB * HMXJ2K3L,540.00,Travel
06/18/2026,WHOLE FOODS MKT #456,58.21,Merchandise & Supplies-Groceries
06/20/2026,AUTOPAY PAYMENT RECEIVED - THANK YOU,-1200.00,Payments and Credits
06/22/2026,STARBUCKS STORE #9981,5.60,Restaurant-Restaurant
06/25/2026,,45.00,Merchandise
